Serial_Number,Model,capacity_bytes,date,failure,Prediction,Confidence_Level,Active_Probability,Failure_Probability
Z302FE4Z,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249933,0.9563534785727076,0.04364652142729242
S30109D5,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249922,0.9563534785727076,0.04364652142729242
S300WD0T,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249933,0.9563534785727076,0.04364652142729242
S3010LW0,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249935,0.9563534785727076,0.04364652142729242
S300YPTB,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249935,0.9563534785727076,0.04364652142729242
S301NDB6,ST4000DM000,4000787030016,2023-01-21,fail,Predicted_to_be_fail,-1.5435020027249846,0.04364652142729309,0.9563534785727069
S300Z6PE,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249935,0.9563534785727076,0.04364652142729242
S300WEJC,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249933,0.9563534785727076,0.04364652142729242
S300YQAB,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249933,0.9563534785727076,0.04364652142729242
Z302DYW4,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249933,0.9563534785727076,0.04364652142729242
Z302AB9J,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249935,0.9563534785727076,0.04364652142729242
S300Z3PR,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249935,0.9563534785727076,0.04364652142729242
Z302F2E5,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249935,0.9563534785727076,0.04364652142729242
S300Z6H8,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249933,0.9563534785727076,0.04364652142729242
S300VL4C,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249935,0.9563534785727076,0.04364652142729242
S300WDNH,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249935,0.9563534785727076,0.04364652142729242
Z302AL4P,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249933,0.9563534785727076,0.04364652142729242
Z302G5JD,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249933,0.9563534785727076,0.04364652142729242
S300Z4TT,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249933,0.9563534785727076,0.04364652142729242
Z302AL6K,ST4000DM000,4000787030016,2023-03-26,Active,Active,1.5435020027249933,0.9563534785727076,0.04364652142729242
